index,value,name,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,type,rank,so2,date
280,72,南宁,1.225,157,24,34,58,72,52,良,71.6071,15,2014/2/1
344,48,厦门,0.668,83,21,33,76,45,30,优,34.5357,13,2014/2/1
399,112,合肥,1.018,316,27,23,41,88,85,轻度污染,107.1429,18,2014/2/1
457,85,呼和浩特,3.457,229,22,51,35,97,60,良,72.3571,76,2014/2/1
521,129,天津,2.079,289,31,61,44,136,96,轻度污染,111.9286,100,2014/2/1
588,63,广州,0.971,145,12,44,59,61,46,良,55.6071,12,2014/2/1
654,149,成都,1.421,234,43,49,54,150,113,轻度污染,142.7143,25,2014/2/1
716,81,杭州,0.879,252,20,39,55,71,60,良,71.25,19,2014/2/1
778,122,武汉,1.304,279,37,46,53,82,93,轻度污染,114.7778,33,2014/2/1
840,36,海口,0.7,60,21,13,38,34,21,优,9.7857,5,2014/2/1
902,47,深圳,1.157,66,20,30,63,45,31,优,28.3929,7,2014/2/1
964,218,西安,2.507,432,83,53,32,241,173,重度污染,175.7143,65,2014/2/1
25,82,上海,0.787,202,39,51,100,84,57,良,71.3871,19,2014/3/1
95,127,乌鲁木齐,1.994,264,41,76,55,158,90,轻度污染,128.4194,40,2014/3/1
157,130,北京,1.39,319,35,62,83,138,94,轻度污染,108.5161,34,2014/3/1
220,107,南京,0.826,256,55,62,107,141,75,轻度污染,119.5806,33,2014/3/1
281,69,南宁,1.306,116,33,40,42,78,49,良,59.9677,15,2014/3/1
345,67,厦门,0.648,105,35,48,92,72,42,良,50.7419,20,2014/3/1
406,103,合肥,0.932,153,66,32,50,107,78,轻度污染,118.1613,21,2014/3/1
456,94,呼和浩特,2.51,199,28,47,49,139,45,良,97.7097,75,2014/3/1
520,150,天津,1.994,252,57,71,66,173,112,轻度污染,148.4839,69,2014/3/1
586,77,广州,1.129,172,28,57,62,79,55,良,69.0323,17,2014/3/1
655,114,成都,1.297,211,40,64,77,137,84,轻度污染,115.1613,24,2014/3/1
717,82,杭州,0.826,139,46,50,86,95,59,良,75.2581,23,2014/3/1
779,110,武汉,1.219,151,64,60,81,122,83,轻度污染,129,40,2014/3/1
841,40,海口,0.7,57,19,15,38,40,20,优,7.2581,4,2014/3/1
903,56,深圳,0.919,90,27,37,64,61,37,良,28.0968,8,2014/3/1
965,134,西安,2.242,250,74,50,52,188,85,轻度污染,140.9677,37,2014/3/1
24,77,上海,0.727,187,50,47,108,67,53,良,73.5333,15,2014/4/1
96,125,乌鲁木齐,0.807,402,41,45,58,179,45,轻度污染,111.8571,16,2014/4/1
158,127,北京,0.927,279,65,57,129,145,89,轻度污染,144.5,16,2014/4/1
221,93,南京,0.697,144,47,53,125,108,60,良,113.8,22,2014/4/1
282,61,南宁,1.16,94,41,32,67,70,38,良,44.3667,14,2014/4/1
346,64,厦门,0.707,86,52,38,100,67,40,良,50.3,18,2014/4/1
419,90,合肥,0.847,137,46,29,54,82,67,良,106.1667,15,2014/4/1
455,96,呼和浩特,2.143,230,53,44,63,141,40,良,108.8,32,2014/4/1
519,121,天津,1.41,199,64,56,99,153,85,轻度污染,153.3333,35,2014/4/1
585,69,广州,0.967,108,48,54,79,69,49,良,59.8667,19,2014/4/1
656,90,成都,1.037,160,43,51,110,100,60,良,105.5667,16,2014/4/1
718,83,杭州,0.77,140,37,51,90,96,60,良,89.7333,22,2014/4/1
780,87,武汉,1.097,184,37,53,101,96,63,良,94.2,29,2014/4/1
842,37,海口,0.677,61,27,11,45,35,17,优,5.3667,4,2014/4/1
904,52,深圳,0.92,71,29,34,81,53,32,良,23.9,8,2014/4/1
966,101,西安,1.697,181,55,46,66,149,64,轻度污染,123.1,17,2014/4/1
23,96,上海,0.777,193,53,42,142,99,63,良,103.4194,17,2014/5/1
98,106,乌鲁木齐,0.69,186,36,46,72,162,37,轻度污染,119.5161,13,2014/5/1
159,107,北京,0.839,205,46,47,149,118,61,轻度污染,115.8387,15,2014/5/1
222,134,南京,0.887,270,70,56,177,172,85,轻度污染,162.0968,26,2014/5/1
283,61,南宁,1.074,95,35,29,93,64,33,良,45.5161,13,2014/5/1
347,61,厦门,0.803,104,30,40,88,59,40,良,45.9032,13,2014/5/1
407,109,合肥,0.858,204,61,29,67,148,76,轻度污染,127.0323,18,2014/5/1
454,91,呼和浩特,1.49,165,40,39,68,133,37,良,98.2903,25,2014/5/1
518,102,天津,1.348,204,44,49,116,132,70,轻度污染,111.0323,29,2014/5/1
584,52,广州,0.961,102,33,43,66,49,33,良,31.3548,16,2014/5/1
657,110,成都,0.819,185,60,52,136,131,76,轻度污染,127.9355,15,2014/5/1
719,91,杭州,0.823,151,46,46,128,115,59,良,101.3548,19,2014/5/1
781,112,武汉,1.035,281,43,56,109,143,75,轻度污染,124.0323,28,2014/5/1
843,32,海口,0.635,43,25,13,58,29,13,优,7.2903,4,2014/5/1
905,34,深圳,0.874,51,22,28,51,32,17,优,7.7742,6,2014/5/1
967,100,西安,1.529,221,58,32,81,149,55,良,115.3871,16,2014/5/1
22,72,上海,0.72,182,37,35,118,58,44,良,73.0333,12,2014/6/1
99,80,乌鲁木齐,0.557,134,53,44,94,111,35,良,98,14,2014/6/1
160,116,北京,0.79,179,50,39,168,74,54,轻度污染,143.3,6,2014/6/1
223,130,南京,0.813,216,49,45,161,128,90,轻度污染,150.6333,20,2014/6/1
284,57,南宁,0.937,125,29,26,93,57,29,良,48.1333,13,2014/6/1
348,49,厦门,0.523,94,26,22,86,45,27,优,34.0667,10,2014/6/1
408,124,合肥,1.083,314,50,23,80,127,94,轻度污染,143.6667,20,2014/6/1
453,72,呼和浩特,1.173,110,28,33,101,86,26,良,84.9,23,2014/6/1
517,97,天津,1.387,141,47,41,146,93,58,良,124.4667,21,2014/6/1
583,71,广州,0.887,142,34,38,109,53,34,良,75.5667,15,2014/6/1
658,74,成都,0.863,166,36,46,110,72,44,良,82.6667,13,2014/6/1
720,89,杭州,0.813,181,36,40,130,88,54,良,104.5667,13,2014/6/1
782,119,武汉,1.087,274,32,44,154,127,83,轻度污染,138.0333,24,2014/6/1
844,33,海口,0.623,78,14,15,59,30,14,优,9.8667,5,2014/6/1
906,42,深圳,0.943,82,23,26,61,42,20,优,20.3667,6,2014/6/1
968,78,西安,1.42,136,53,34,110,97,46,良,97.4333,13,2014/6/1
21,74,上海,0.765,167,32,31,112,63,45,良,83.5484,12,2014/7/1
100,86,乌鲁木齐,0.619,122,54,44,102,122,30,良,114.7419,15,2014/7/1
161,140,北京,0.939,252,39,39,170,100,89,轻度污染,154.9677,6,2014/7/1
224,98,南京,0.816,169,35,36,128,92,65,良,125.4194,13,2014/7/1
285,44,南宁,0.829,69,19,25,67,47,21,优,36.4839,12,2014/7/1
349,44,厦门,0.545,71,27,27,84,41,21,优,32.5806,14,2014/7/1
409,82,合肥,0.919,160,30,21,58,97,58,良,103.9677,11,2014/7/1
452,80,呼和浩特,0.745,131,49,39,122,100,32,良,104.5806,18,2014/7/1
516,117,天津,1.497,177,63,39,160,114,76,轻度污染,155.0323,22,2014/7/1
582,84,广州,0.755,191,29,35,133,55,35,良,98.4194,16,2014/7/1
659,75,成都,0.868,122,27,47,122,71,40,良,95.7097,13,2014/7/1
721,84,杭州,0.768,150,36,34,129,72,44,良,105.1935,10,2014/7/1
783,81,武汉,0.884,182,30,39,127,82,44,良,101.129,19,2014/7/1
845,26,海口,0.574,38,18,14,40,25,10,优,4.3226,5,2014/7/1
907,44,深圳,1.097,105,26,27,70,43,20,优,35.6129,7,2014/7/1
969,82,西安,1.058,110,27,34,135,87,36,良,109.5806,9,2014/7/1
20,67,上海,0.768,150,30,34,112,52,38,良,84.2258,13,2014/8/1
101,96,乌鲁木齐,0.729,208,54,51,93,141,35,良,138,17,2014/8/1
162,120,北京,0.839,200,46,43,172,88,62,轻度污染,157.3226,5,2014/8/1
225,59,南京,0.758,126,26,31,64,59,42,良,66.2581,11,2014/8/1
286,50,南宁,0.771,90,27,27,76,53,21,良,49.2903,11,2014/8/1
357,56,厦门,0.658,92,23,33,101,53,32,良,65.1613,16,2014/8/1
410,75,合肥,0.923,133,41,17,55,83,54,良,106.4839,12,2014/8/1
447,72,呼和浩特,0.842,104,48,39,107,88,25,良,101.1613,19,2014/8/1
515,87,天津,1.452,134,48,40,124,100,57,良,131.0323,20,2014/8/1
581,76,广州,0.777,186,26,34,123,49,31,良,96.7742,15,2014/8/1
660,69,成都,0.916,108,28,44,110,64,38,良,95.0323,12,2014/8/1
722,75,杭州,0.903,120,27,35,118,70,45,良,104.3871,12,2014/8/1
784,78,武汉,0.971,127,47,36,124,73,44,良,110.4516,18,2014/8/1
846,25,海口,0.568,37,13,14,33,25,11,优,6.129,4,2014/8/1
908,36,深圳,0.929,73,24,27,57,36,15,优,20.8065,6,2014/8/1
970,74,西安,1.219,114,33,39,108,93,44,良,103.3548,11,2014/8/1
19,69,上海,0.74,138,32,32,117,52,35,良,99.1667,13,2014/9/1
102,104,乌鲁木齐,0.897,149,41,55,62,158,47,轻度污染,155.7333,21,2014/9/1
163,99,北京,0.983,200,43,49,106,88,65,良,142.7667,6,2014/9/1
226,77,南京,0.733,142,36,37,105,82,51,良,116.7333,13,2014/9/1
287,56,南宁,0.86,108,27,29,91,63,33,良,65.8667,12,2014/9/1
351,52,厦门,0.557,81,35,23,96,49,28,良,59.0667,10,2014/9/1
411,76,合肥,0.877,160,26,19,46,84,54,良,104.4333,15,2014/9/1
451,70,呼和浩特,0.827,109,34,40,85,89,29,良,104.5667,19,2014/9/1
509,80,天津,1.29,150,37,40,84,87,56,良,120.4667,21,2014/9/1
580,75,广州,0.843,148,23,35,124,56,36,良,106.6333,16,2014/9/1
661,62,成都,0.96,114,31,46,74,68,40,良,80.9667,14,2014/9/1
723,74,杭州,0.813,162,28,34,118,70,46,良,104.4667,15,2014/9/1
785,74,武汉,1.003,125,21,37,111,76,46,良,109.5667,22,2014/9/1
847,30,海口,0.633,66,14,14,50,30,16,优,12.5667,5,2014/9/1
909,52,深圳,1.13,125,27,30,83,51,26,良,54.5,7,2014/9/1
971,61,西安,1.383,113,18,38,65,76,39,良,79.8333,11,2014/9/1
18,77,上海,0.781,137,52,42,119,68,40,良,74.2903,16,2014/10/1
103,97,乌鲁木齐,1.206,155,30,58,35,144,55,良,113.2903,24,2014/10/1
164,154,北京,1.339,381,28,70,54,148,118,中度污染,121.4194,9,2014/10/1
227,96,南京,0.79,176,60,54,105,120,67,良,110.2581,17,2014/10/1
288,95,南宁,1.013,167,41,44,124,113,70,良,108.6452,18,2014/10/1
352,58,厦门,0.632,85,38,23,96,60,37,良,37.8387,10,2014/10/1
412,103,合肥,1.016,253,63,29,50,130,75,轻度污染,114.8387,17,2014/10/1
450,96,呼和浩特,1.394,160,33,51,62,142,51,良,107.6774,34,2014/10/1
513,134,天津,1.142,285,42,53,51,146,99,轻度污染,123.9032,19,2014/10/1
579,96,广州,0.945,139,52,49,148,85,59,良,116.129,17,2014/10/1
662,88,成都,1.11,219,37,52,66,104,64,良,85.7097,16,2014/10/1
724,88,杭州,0.848,146,49,47,128,98,59,良,101.0968,21,2014/10/1
792,123,武汉,1.223,229,31,60,119,140,91,轻度污染,136.9355,30,2014/10/1
848,59,海口,0.713,104,31,17,100,57,34,良,40.7419,6,2014/10/1
910,73,深圳,1.213,116,52,32,122,76,45,良,68,9,2014/10/1
972,111,西安,1.51,251,44,48,56,152,78,轻度污染,123.4516,20,2014/10/1
17,74,上海,0.843,182,38,52,84,71,52,良,63.3333,18,2014/11/1
104,81,乌鲁木齐,1.123,142,20,32,21,111,52,良,87.3333,20,2014/11/1
165,117,北京,1.567,342,29,65,37,127,86,轻度污染,101.4667,16,2014/11/1
228,111,南京,1.037,243,37,60,58,132,82,轻度污染,122.4,21,2014/11/1
289,71,南宁,0.96,147,22,41,64,84,49,良,62.8667,15,2014/11/1
353,55,厦门,0.68,86,33,30,71,57,36,良,40.8667,12,2014/11/1
413,126,合肥,1.22,402,31,29,30,121,95,轻度污染,134.3,23,2014/11/1
449,87,呼和浩特,1.897,139,32,50,43,121,51,良,88.6667,58,2014/11/1
512,145,天津,1.887,422,50,68,43,156,111,轻度污染,133.3333,52,2014/11/1
578,70,广州,1.08,125,15,48,83,67,50,良,65.2667,16,2014/11/1
663,76,成都,1.067,132,41,49,41,96,53,良,77.7,15,2014/11/1
725,101,杭州,1.05,164,41,59,67,107,75,轻度污染,112.9333,22,2014/11/1
787,105,武汉,1.287,285,44,58,61,94,77,轻度污染,113.7333,32,2014/11/1
849,44,海口,0.747,90,25,15,68,42,23,优,17.1,5,2014/11/1
911,62,深圳,1.187,93,38,37,87,66,43,良,51.5,9,2014/11/1
973,118,西安,1.883,239,53,48,29,155,84,轻度污染,131.6,37,2014/11/1
16,99,上海,1.09,190,39,68,47,113,72,良,112.1613,36,2014/12/1
105,179,乌鲁木齐,2.484,325,38,68,14,216,140,中度污染,169.0645,44,2014/12/1
166,86,北京,1.552,267,21,53,42,95,58,良,65.4194,28,2014/12/1
229,98,南京,1.065,148,65,58,41,136,63,良,113.4516,30,2014/12/1
290,97,南宁,1.065,182,29,50,73,120,71,良,108.5161,24,2014/12/1
354,59,厦门,0.616,96,31,36,61,64,41,良,42.129,14,2014/12/1
414,94,合肥,1.01,150,55,33,28,100,68,良,101.9355,28,2014/12/1
463,105,呼和浩特,2.371,257,45,43,39,131,71,轻度污染,103.6452,81,2014/12/1
511,144,天津,2.061,378,43,65,35,154,107,轻度污染,129.3548,76,2014/12/1
577,76,广州,1.232,142,28,41,60,82,55,良,72.7742,19,2014/12/1
664,117,成都,1.21,230,55,57,40,156,84,轻度污染,133.129,23,2014/12/1
726,100,杭州,1.006,145,57,61,49,117,72,良,118.7742,32,2014/12/1
788,114,武汉,1.271,250,73,63,54,126,84,轻度污染,133.9677,42,2014/12/1
850,53,海口,0.839,93,16,13,71,56,35,良,34.0323,8,2014/12/1
912,70,深圳,1.223,99,26,44,72,77,50,良,60.9032,11,2014/12/1
974,104,西安,2.035,182,60,48,26,152,67,轻度污染,115.3871,53,2014/12/1
29,111,上海,1.09,256,28,63,56,108,83,轻度污染,185.3548,29,2015/1/1
106,154,乌鲁木齐,2.758,302,59,78,18,169,119,中度污染,262.0968,39,2015/1/1
167,126,北京,1.91,378,28,66,39,120,97,轻度污染,196.6452,34,2015/1/1
230,129,南京,1.313,281,46,66,40,154,96,轻度污染,235.3548,30,2015/1/1
291,96,南宁,1.165,207,30,46,80,112,71,良,170.8065,18,2015/1/1
355,69,厦门,0.723,124,24,39,66,72,49,良,98.6774,13,2015/1/1
415,134,合肥,1.194,264,53,36,34,121,102,轻度污染,248.2903,27,2015/1/1
448,87,呼和浩特,2.619,170,34,54,34,119,59,良,145.9032,97,2015/1/1
510,133,天津,2.252,364,36,70,33,161,100,轻度污染,222.1613,76,2015/1/1
576,81,广州,1.261,176,22,65,70,85,60,良,134.9677,20,2015/1/1
665,165,成都,1.584,259,43,61,34,195,126,中度污染,280.0968,20,2015/1/1
727,118,杭州,1.223,236,31,62,48,120,89,轻度污染,216.0323,25,2015/1/1
789,161,武汉,1.58,285,46,74,47,138,123,中度污染,289.5,36,2015/1/1
851,58,海口,0.835,112,30,13,79,59,38,良,70.3871,7,2015/1/1
914,70,深圳,1.226,131,30,45,91,80,49,良,106.7742,10,2015/1/1
975,132,西安,2.897,242,61,51,25,188,95,轻度污染,234.7419,55,2015/1/1
15,90,上海,0.946,222,34,46,81,85,64,良,170.1071,20,2015/2/1
107,167,乌鲁木齐,2.682,357,45,78,35,207,126,中度污染,277.6429,33,2015/2/1
169,127,北京,1.457,334,36,51,60,114,93,轻度污染,212.8571,26,2015/2/1
231,101,南京,1.175,212,29,44,70,115,73,轻度污染,198.8571,21,2015/2/1
292,99,南宁,1.1,211,35,36,65,97,73,良,189.6429,13,2015/2/1
356,55,厦门,0.786,94,30,25,73,56,39,良,72,8,2015/2/1
416,111,合肥,1.05,240,29,25,45,105,84,轻度污染,218.2857,26,2015/2/1
461,93,呼和浩特,1.882,247,32,41,51,123,51,良,165.8214,71,2015/2/1
524,116,天津,1.746,236,42,51,49,146,80,轻度污染,236.1071,60,2015/2/1
575,75,广州,1.079,147,28,49,67,75,55,良,136.2143,12,2015/2/1
666,115,成都,1.346,221,43,45,67,126,86,轻度污染,233.4286,15,2015/2/1
728,88,杭州,0.95,179,30,39,73,87,65,良,167.7857,13,2015/2/1
790,142,武汉,1.457,223,31,56,62,117,108,轻度污染,284.7857,27,2015/2/1
852,57,海口,0.771,147,22,7,58,57,38,良,81.8571,5,2015/2/1
928,67,深圳,1.082,131,25,33,85,72,47,良,116.3214,9,2015/2/1
976,104,西安,2.482,200,67,38,47,147,65,轻度污染,230.9286,38,2015/2/1
13,81,上海,0.845,143,37,48,102,66,54,良,183.2903,15,2015/3/1
110,96,乌鲁木齐,1.51,236,34,50,44,116,65,良,221.7419,19,2015/3/1
184,127,北京,1.194,281,40,53,87,146,86,轻度污染,253.4516,20,2015/3/1
232,83,南京,1.113,186,31,49,83,96,56,良,207.4516,20,2015/3/1
293,56,南宁,1.003,115,23,30,57,59,39,良,104.5161,10,2015/3/1
360,51,厦门,0.635,90,27,33,73,52,33,良,74.3226,8,2015/3/1
417,88,合肥,0.99,184,22,24,51,88,63,良,222.2903,21,2015/3/1
446,86,呼和浩特,1.419,151,33,38,70,123,38,良,207.4194,49,2015/3/1
508,117,天津,1.435,274,54,52,60,166,72,轻度污染,276.1935,37,2015/3/1
574,49,广州,1.023,90,17,45,39,49,33,优,68.6129,10,2015/3/1
667,94,成都,1.126,146,58,51,93,114,68,良,241.6452,15,2015/3/1
729,76,杭州,0.839,138,45,47,82,81,53,良,179.6452,15,2015/3/1
791,94,武汉,1.135,204,33,49,74,98,68,良,236.9677,24,2015/3/1
837,34,海口,0.639,51,18,10,46,34,17,优,20.7097,4,2015/3/1
915,49,深圳,0.977,70,32,33,65,52,31,优,73.7097,7,2015/3/1
977,93,西安,1.787,177,53,40,59,132,60,良,234.9032,26,2015/3/1
12,88,上海,0.79,166,44,53,122,81,56,良,230.5,16,2015/4/1
109,91,乌鲁木齐,0.937,253,35,42,65,127,47,良,231.1333,12,2015/4/1
170,107,北京,0.76,212,38,43,124,118,71,轻度污染,250.6,9,2015/4/1
235,87,南京,0.92,153,44,56,123,95,50,良,229.7333,20,2015/4/1
277,68,南宁,0.947,112,33,31,102,82,43,良,150.1333,13,2015/4/1
358,50,厦门,0.527,78,28,33,83,52,28,良,60.6667,10,2015/4/1
418,85,合肥,0.91,131,51,27,62,101,58,良,218.0667,23,2015/4/1
435,74,呼和浩特,0.853,251,33,34,81,96,27,良,150.2,22,2015/4/1
497,92,天津,0.913,145,39,30,74,109,64,良,243.8,15,2015/4/1
573,71,广州,1.04,170,21,45,99,60,38,良,154.3,14,2015/4/1
678,88,成都,0.887,148,43,49,135,101,54,良,221.5333,15,2015/4/1
730,82,杭州,0.847,136,35,48,118,89,54,良,209.3333,17,2015/4/1
805,87,武汉,1.067,133,36,52,103,110,59,良,230.4667,20,2015/4/1
854,40,海口,0.713,76,16,13,62,39,20,优,31.3333,4,2015/4/1
916,52,深圳,0.853,95,25,34,79,52,27,良,72.3333,8,2015/4/1
978,78,西安,1.743,138,43,36,82,106,40,良,197.4667,17,2015/4/1
0,77,上海,0.697,117,51,39,126,63,44,良,203.3871,12,2015/5/1
121,88,乌鲁木齐,0.781,159,35,40,79,126,41,良,234.6452,10,2015/5/1
171,105,北京,0.745,203,42,37,153,97,55,轻度污染,244.6774,8,2015/5/1
234,95,南京,0.887,145,45,47,141,90,52,良,259.4516,18,2015/5/1
294,53,南宁,0.829,79,32,25,88,56,28,良,92.8065,9,2015/5/1
370,51,厦门,0.597,87,32,30,64,53,33,良,82.4194,11,2015/5/1
421,88,合肥,0.968,156,47,30,71,101,62,良,223.9677,14,2015/5/1
436,74,呼和浩特,0.655,105,43,26,100,98,25,良,179.6452,14,2015/5/1
498,88,天津,0.977,156,40,27,130,90,51,良,220.4194,14,2015/5/1
572,47,广州,0.845,99,28,42,72,42,27,优,71.1935,12,2015/5/1
670,107,成都,0.81,176,60,44,163,98,49,轻度污染,286.4516,13,2015/5/1
731,94,杭州,0.758,169,40,41,138,82,54,良,243.0323,15,2015/5/1
794,101,武汉,1.023,174,45,45,137,112,65,轻度污染,269.5484,15,2015/5/1
866,31,海口,0.571,46,21,14,52,30,13,优,13.1613,3,2015/5/1
917,36,深圳,0.829,76,24,29,58,33,16,优,26.4516,7,2015/5/1
979,78,西安,1.532,103,60,36,114,101,40,良,209.8065,17,2015/5/1
11,80,上海,0.697,188,43,35,129,57,43,良,227.4333,11,2015/6/1
122,72,乌鲁木齐,0.707,110,41,38,97,93,29,良,219.4667,8,2015/6/1
172,111,北京,1.303,231,35,35,156,70,60,轻度污染,269.5333,6,2015/6/1
246,89,南京,0.863,185,28,39,132,77,46,良,245.3333,14,2015/6/1
295,43,南宁,0.697,56,28,21,75,43,19,优,84.4667,8,2015/6/1
369,40,厦门,0.393,61,26,24,62,40,23,优,66.3333,9,2015/6/1
420,69,合肥,0.94,121,23,29,88,74,45,良,198.7333,11,2015/6/1
437,71,呼和浩特,0.657,138,41,27,113,72,21,良,199.9333,11,2015/6/1
499,99,天津,1.363,175,32,34,142,92,59,良,279.6667,15,2015/6/1
571,52,广州,0.74,89,28,31,94,36,21,良,128.5333,11,2015/6/1
671,87,成都,0.823,170,36,38,133,70,38,良,250.8,14,2015/6/1
732,68,杭州,0.737,104,36,36,106,61,40,良,191.8,9,2015/6/1
795,73,武汉,0.91,116,33,40,118,78,41,良,215,13,2015/6/1
865,27,海口,0.51,42,18,13,52,25,10,优,19.7667,4,2015/6/1
918,28,深圳,0.743,37,23,25,49,26,11,优,15.6,8,2015/6/1
980,70,西安,1.27,101,32,32,97,82,36,良,211.3667,11,2015/6/1
10,84,上海,0.658,171,31,31,134,57,39,良,199.2258,11,2015/7/1
120,86,乌鲁木齐,0.742,119,50,38,123,118,33,良,265.9677,9,2015/7/1
173,122,北京,0.823,200,41,35,177,74,61,轻度污染,304.0968,4,2015/7/1
245,77,南京,0.713,146,28,36,117,64,36,良,206.0645,12,2015/7/1
296,53,南宁,0.79,106,19,26,88,57,29,良,129.0323,11,2015/7/1
368,41,厦门,0.477,68,24,25,72,37,21,优,63.5484,10,2015/7/1
432,59,合肥,0.797,132,22,25,77,61,40,良,147.5161,9,2015/7/1
434,89,呼和浩特,0.771,135,45,31,145,83,27,良,272.4516,14,2015/7/1
496,78,天津,0.706,122,46,18,116,88,49,良,227.3226,7,2015/7/1
570,65,广州,0.81,159,38,32,104,45,28,良,159.5806,9,2015/7/1
672,106,成都,0.939,153,37,48,161,82,45,轻度污染,295.5161,15,2015/7/1
733,64,杭州,0.706,115,21,31,106,49,31,良,166.8387,10,2015/7/1
796,76,武汉,0.768,143,43,33,126,68,36,良,209.7419,10,2015/7/1
864,34,海口,0.584,55,22,14,63,31,15,优,40.1613,6,2015/7/1
919,43,深圳,0.835,83,29,27,73,34,19,优,69.7097,8,2015/7/1
981,95,西安,1.032,142,61,36,149,98,41,良,289.8065,9,2015/7/1
9,86,上海,0.735,181,28,28,135,58,40,良,217.4516,13,2015/8/1
119,77,乌鲁木齐,0.645,130,39,40,112,96,29,良,233.8387,9,2015/8/1
185,104,北京,0.79,202,37,31,159,66,45,轻度污染,273.7419,3,2015/8/1
244,93,南京,0.745,166,30,38,147,65,33,良,257.0323,14,2015/8/1
297,58,南宁,0.803,98,24,29,88,68,34,良,147.0968,13,2015/8/1
367,42,厦门,0.484,64,28,31,67,37,20,优,70.2903,10,2015/8/1
431,63,合肥,0.842,89,33,28,96,74,39,良,172.3871,9,2015/8/1
438,79,呼和浩特,0.629,120,47,33,131,76,21,良,237.1935,12,2015/8/1
500,78,天津,1,149,44,25,110,94,50,良,223.0323,11,2015/8/1
569,89,广州,0.884,200,49,39,131,60,39,良,256.0968,13,2015/8/1
673,85,成都,1.032,159,39,52,125,78,44,良,247.4839,14,2015/8/1
734,81,杭州,0.797,138,27,34,131,61,39,良,229.9355,13,2015/8/1
797,90,武汉,0.784,158,23,37,144,85,41,良,261.5484,14,2015/8/1
863,40,海口,0.603,75,23,16,77,34,17,优,63.8065,6,2015/8/1
920,56,深圳,0.829,109,29,36,84,43,25,良,137.1935,10,2015/8/1
982,90,西安,1.023,169,35,43,127,102,43,良,272.7742,10,2015/8/1
8,79,上海,0.72,159,35,32,132,49,34,良,231.9,13,2015/9/1
118,63,乌鲁木齐,0.65,98,30,36,80,77,24,良,183.2,10,2015/9/1
174,83,北京,0.837,201,34,43,109,59,50,良,220.8,5,2015/9/1
243,84,南京,0.733,145,50,44,138,62,30,良,267.3667,15,2015/9/1
298,49,南宁,0.903,89,27,27,75,53,29,优,112.9667,11,2015/9/1
366,48,厦门,0.613,60,30,25,80,47,27,优,103.5,8,2015/9/1
430,64,合肥,0.893,82,36,30,94,73,41,良,195,10,2015/9/1
445,64,呼和浩特,0.667,101,35,34,102,71,27,良,186.4667,12,2015/9/1
507,68,天津,0.87,147,27,25,81,75,44,良,184.9,13,2015/9/1
568,80,广州,0.9,157,45,44,117,65,42,良,238.8667,11,2015/9/1
674,64,成都,1.03,120,38,47,77,60,35,良,189.4,13,2015/9/1
735,91,杭州,0.837,172,31,43,137,67,43,良,262.9333,16,2015/9/1
798,92,武汉,0.927,146,46,41,143,88,47,良,288,19,2015/9/1
862,40,海口,0.627,80,21,13,76,33,16,优,73.8333,5,2015/9/1
921,61,深圳,0.743,114,30,30,101,46,30,良,166.5,8,2015/9/1
983,70,西安,1.143,102,37,42,89,84,42,良,225.0333,13,2015/9/1
7,82,上海,0.816,133,47,49,127,73,47,良,217.7097,17,2015/10/1
117,82,乌鲁木齐,1.006,144,34,47,41,111,45,良,208.129,13,2015/10/1
175,106,北京,0.955,344,27,55,74,86,74,轻度污染,175.0645,6,2015/10/1
242,92,南京,0.932,201,42,61,119,112,56,良,247.8065,22,2015/10/1
299,79,南宁,1.039,127,33,41,98,105,53,良,199.9677,18,2015/10/1
371,49,厦门,0.603,73,30,22,73,51,29,优,77.2581,8,2015/10/1
429,97,合肥,1.174,203,33,44,85,115,70,良,246.6129,14,2015/10/1
440,78,呼和浩特,0.877,147,33,42,80,103,39,良,182.9677,23,2015/10/1
502,86,天津,1.058,219,37,42,70,100,54,良,192.7742,17,2015/10/1
567,71,广州,0.919,131,30,53,95,77,45,良,171.2581,12,2015/10/1
675,91,成都,1.052,168,40,59,83,109,63,良,235.1613,17,2015/10/1
736,83,杭州,0.861,143,48,53,115,90,56,良,223.9677,18,2015/10/1
799,101,武汉,1.135,153,40,65,119,131,71,轻度污染,264.2903,23,2015/10/1
867,66,海口,0.713,140,23,17,112,54,34,良,138.0645,7,2015/10/1
922,68,深圳,0.758,137,25,34,115,59,38,良,151.4839,9,2015/10/1
984,104,西安,1.452,202,31,53,56,153,63,轻度污染,256.871,21,2015/10/1
6,87,上海,1.09,179,35,58,69,74,58,良,222.8667,17,2015/11/1
123,97,乌鲁木齐,1.707,204,44,51,17,111,69,良,248.0667,11,2015/11/1
176,153,北京,1.983,450,37,62,25,85,119,中度污染,285.7667,12,2015/11/1
247,84,南京,1.087,190,39,53,59,88,57,良,228.8333,17,2015/11/1
300,56,南宁,1.043,92,33,34,52,61,34,良,126.9,13,2015/11/1
364,48,厦门,0.657,65,30,23,47,51,25,优,87.8,7,2015/11/1
428,89,合肥,1.247,192,28,39,46,83,65,良,233.3,17,2015/11/1
441,104,呼和浩特,1.78,305,37,44,43,124,76,轻度污染,241.6667,35,2015/11/1
503,119,天津,2.037,345,35,57,36,133,88,轻度污染,252.3,36,2015/11/1
566,65,广州,1.013,95,33,50,66,67,38,良,169.6,14,2015/11/1
